name,city,fist time,lat,long
Angélica Regina,Pato Branco-PR,2017,-26.213073784372124, -52.674287942620936
Thaberna,Pato Branco-PR, 2017,-26.223803603355112, -52.67266303007589
Nonna Joana Grill,Pato Branco-PR,2022,-26.226312863378993, -52.67461177148702
Churrascaria Proteína,Pato Branco-PR,2014,-26.23246344987309, -52.67439524733759
Restaurante Manggiare,Pato Branco-PR, 2022,-26.224241013635773, -52.67493655771116
Restaurante Mineirinho,Pato Branco-PR, 2020,-26.227186913920114, -52.67352915073991
Restaurante do Pedro,Pato Branco-PR, 2021,-26.219482094051912, -52.68161271907432
Itália Lanchonete e Restaurante,Pato Branco-PR, 2012,-26.22637760811194, -52.67049781273715
Patô Lancheria,Pato Branco-PR, 2015,-26.223348766754096, -52.67536836253055
Central Lanches,Pato Branco-PR, 2017,-26.223194772945913, -52.672235542478575
Cantinho Lanches,Pato Branco-PR, 2013,-26.224388219626828, -52.673694664146616
Lanchonete Sabiá,Pato Branco-PR, 2022,-26.21755873012564, -52.673146220915
Empório do Pão,Pato Branco-PR, 2021,-26.225044279172593, -52.6746962731331
Panificadora e Confeitaria Santa Terezinha,Pato Branco-PR,2015,-26.231362014661812, -52.67525766067905
Espeto Gaúcho Restaurante & Churrascaria,Balneario Camburiu-SC,2021,-26.999287477188194, -48.6219641860295
Mais Pizza | Pizzaria e Delivery,Porto Belo-SC, 2022,-27.151662685767786, -48.53760474291569
Madero Container, Guarapuava-PR, 2023,-25.328598169792734, -51.472252166062475
EL TORO House of Meat - Brasi,Pato Branco-PR,2022,-26.22315273554873, -52.67255748774755
Maestro Steak House,Pato Branco-PR,2024,-26.218790107753744, -52.67324375389322
Benedito Bar e Trattoria,Pato Branco-PR,2024,-26.219815516677958, -52.67252658127511
Janela Bar Pato Branco,Pato Branco-PR,2024,-26.21852541798488, -52.67245294459254
Churrascaria Gaúcha,Pato Branco-PR,2013,-26.23275629590525, -52.67422337610529
Faenza Gourmet,Rio de Janeiro-RJ,2023,-22.969738953293817, -43.183922723564415
Geneal Corcovado,Rio de Janeiro-RJ,2023,-22.952201081165295, -43.2114277017306
Bar Aberto Restaurante,Sao Paulo-SP,2023,-23.60042081025647, -46.690888963152574
Restaurante Cipó,Sao Paulo-SP,2023,-23.608320460574767, -46.69425612805821